,ActorCountry,MentionsCountry,avg_tone,stddev_tone,count,avg_conf,avg_weighted_tone,std_weighted_tone
210,Sri Lanka,Canada,-3.6230115997297734,3.8226275660251168,4231,38.496809264949185,-4.0051432707962356,6.334112392209973
211,Australia,Swaziland,0.18939192619708323,2.8137748055656746,46,36.73913043478261,0.13460952860467176,2.8708635830052818
212,Syria,Bulgaria,-4.254104867684915,2.956437573579919,5873,37.479993189170784,-4.466699596354271,5.4368034570898045
213,Liberia,United Kingdom,-3.28022593863185,4.088444257137371,2932,46.012960436562075,-3.18527378884965,5.347901716518096
214,Japan,Fiji,1.1288298695527843,3.3017154429215716,2242,45.98126672613738,1.135091291457459,4.107341680810573
215,Germany,Kyrgyzstan,-0.35337537020445337,3.9152479201171895,1412,41.565155807365436,-0.3490582650763285,4.946870335483377
216,Canada,Serbia,-0.08972305544163085,3.252470505520715,308,35.357142857142854,0.1034166494537709,3.7960018547035093
217,Belgium,Oman,-4.51083806749572,3.674758383650245,1230,37.15447154471545,-4.4523154777131655,5.872607981972654
218,Estonia,Malta,-1.3589318481584087,3.3476501038486615,247,39.149797570850204,-1.1495599484043595,4.089593007787461
219,El Salvador,Philippines,-2.7082334285441965,3.740952082435843,3111,37.03953712632594,-2.842027344722206,5.142207954216485
220,Botswana,India,-1.2594571067435998,3.2224890234388957,1583,43.94188250157928,-1.2766309357858885,4.253049545552624
221,Australia,Egypt,-2.339209279135206,3.675781662337083,2672,44.9438622754491,-2.0235266272221386,4.599563523880878
222,Switzerland,Greece,-1.9178443533396627,3.0999022998583285,1661,37.76640577965081,-1.768205031315951,4.334027334617041
223,South Sudan,Australia,-4.563688968634863,3.3199568190064737,6144,39.117838541666664,-4.7898069207087435,6.016986191016644
224,Gambia,Spain,-3.764476241772143,2.1987544258987364,262,40.458015267175576,-3.614729907383692,3.5111700005453477
225,Mongolia,Kyrgyzstan,1.4086649826278734,3.2536473560386607,3559,49.27788704692329,1.2913236931211374,4.000633452353208
226,Canada,Indonesia,-1.4044075794739008,3.8382658701356887,1905,35.00787401574803,-1.5170880117552286,5.121243884154289
227,Cambodia,Armenia,-2.1931058274747093,3.050953401809734,164,42.5609756097561,-1.9675531541685318,3.681226623608567
228,Cambodia,Italy,-2.5834211020633306,3.517256500847557,523,43.0019120458891,-2.6163261979304657,4.660093927878096
229,Fiji,Indonesia,0.21748040399038485,2.817321567413213,244,44.83606557377049,0.33699035796512383,3.5842155412912757
230,Norway,South Sudan,-0.25333434855610115,3.7766666589557962,272,36.838235294117645,0.025540155423098596,4.772141836254803
231,Honduras,Azerbaijan,-4.2552480011443485,2.9775650289215094,41,31.70731707317073,-5.282811023216491,7.425413321547619
232,Mexico,Guyana,-3.272454441925195,3.611371257518134,1172,36.382252559726965,-3.229526883556956,5.424784380915984
233,Latvia,Malaysia,-2.4098610564334484,2.5989930209372325,549,36.26593806921676,-2.238622486092584,3.236303789563726
234,Zimbabwe,Somalia,-2.5497090741726565,3.2528538263894378,439,46.674259681093396,-2.523977701527286,4.265717005387469
235,Denmark,Faroe Islands,2.2844394834093076,2.231859775643391,44,56.13636363636363,2.2604347831664366,3.5858890020550165
236,Azerbaijan,Egypt,-4.709724030542296,3.5867657577115843,335,34.56716417910448,-4.78965807129236,6.556040399647419
237,Lithuania,Germany,-1.5472145106701216,2.8234867515527986,2240,39.107142857142854,-1.2313165084680326,3.5147999169459267
238,Russia,Brazil,-2.1473905327298826,2.912740784056677,1295,40.13899613899614,-2.183388027404447,4.113248636682507
