country,avg_tone,std_tone,count_mentions,count_events,avg_conf,avg_weighted_tone,std_weighted_tone,first_quartile_tone,median_tone,third_quartile_tone
West Bank,3.079178885630497,0.09775171065493506,4,4,20.0,3.128054740957965,2.327982523312609,3.03030303030303,3.03030303030303,3.03030303030303
Angola,0.8572847733016997,3.2857441905521445,7401,7046,43.14822321307931,0.9380244492332337,3.989848533412002,-0.54347826086957,1.21951219512195,2.8673835125448
Belgium,-1.9872326472296435,3.8668635026224387,8031,7587,44.62084422861412,-2.014247273307173,5.002792162886799,-4.48979591836734,-1.59817351598173,0.657894736842105
Dominica,1.9501335272227727,3.2613215265226154,2446,1904,56.2959934587081,1.9208152689893236,4.008678618106197,0.16051364365972,2.25988700564972,4.1025641025641
Taiwan,-0.8130212945733196,3.3373608316128878,113563,78300,44.157956376636754,-0.8175625111117408,4.405630195106188,-2.82485875706214,-0.56338028169014,1.36807817589576
San Marino,-0.6221763111737679,1.5851803517985172,5,5,100.0,-0.6221763111737679,1.5851803517985172,-0.64935064935065,-0.64935064935065,-0.64935064935065
Cayman Islands,-0.6620816549881998,3.833443319194789,10165,7075,43.24249877029021,-0.7593775808067128,5.213496344567253,-3.03867403314918,-0.5,2.01438848920863
Benin,-0.5683025208339613,1.2324508526720994,81,80,44.69135802469136,-0.5206789461942367,1.5624715401282543,-0.8347245409015,-0.55865921787709,0.0
Peru,-0.21081536793758465,3.5788785952918745,7079,6970,42.566746715637805,-0.027368520567416656,4.387192746999023,-2.56410256410257,0.25575447570333,2.33050847457627
Sierra Leone,-0.7717658190884297,3.752271034797838,37737,28850,43.81190873678353,-0.752626698130651,4.58607997813375,-3.1496062992126,-0.54945054945055,1.84804928131417
Ecuador,-0.9043617766071229,3.423865972333735,3921,3716,50.68604947717419,-0.7251068149752323,3.985515921908213,-2.87610619469026,-0.58997050147492,1.38888888888889
Qatar,1.3359707304147805,4.064090632432634,61976,46928,47.92468052149219,1.424070403048739,5.179779127926141,-1.08108108108108,1.91082802547771,4.05727923627685
Lesotho,-1.5295385608914618,3.5320256997984703,6768,6528,43.461879432624116,-1.2232002275326797,4.143144420032892,-3.6889332003988,-1.57894736842106,0.79051383399209
Gabon,0.08570161408349342,4.019900056139952,140,138,51.785714285714285,0.283552642829261,4.627341986185155,-3.24232081911263,0.573065902578795,3.6036036036036
Nigeria,-1.9528634461207588,3.722912681872563,2479462,1543983,38.525603538186914,-1.8976280657603677,4.726949014207524,-4.28061831153388,-1.86219739292365,0.50167224080267
Bolivia,0.13601726362193128,2.7980617493520827,86,69,55.93023255813954,-0.28762956501765663,4.630539368592397,-0.454840805718,0.60769750168805,1.16618075801749
Ghana,-0.6243905543074896,3.947825456750001,533834,278498,44.8356230588535,-0.5280002648888995,4.708264783209237,-3.17725752508361,-0.45766590389016,2.14362272240086
Myanmar,-2.033258732503101,3.401345654886123,63172,58712,45.52855695561325,-1.9310768525736453,4.393169960825475,-4.4362292051756,-1.83150183150183,0.41371158392435
Nicaragua,-1.390773024120463,2.2474574898549813,327,322,33.76146788990825,-1.3047867838163678,3.419451897153449,-2.95508274231678,-1.28361858190709,0.3125
Albania,-1.5621513563639546,3.56178428482393,12386,10765,40.03471661553367,-1.498286679547972,4.636573550517213,-3.93374741200828,-1.50943396226415,0.80971659919028
Madagascar,1.7055077199264852,2.1309567452925284,12,6,33.333333333333336,2.113554870606342,2.8333572129817606,-0.3347280334728,-0.3347280334728,3.74574347332577
Suriname,-6.3573883161512,0.0,2,2,10.0,-6.3573883161512,0.0,-6.3573883161512,-6.3573883161512,-6.3573883161512
Bahamas,-0.7727529522349553,3.6843529577640677,71399,49622,42.15087046037059,-0.5886114131874507,4.48804084510363,-3.07262569832403,-0.71428571428571,1.75438596491228
China,0.23863290990913183,3.5578854554121757,1257781,726705,45.63358804116138,0.22397524277618952,4.396686624810334,-1.90023752969121,0.70422535211267,2.60663507109005
India,-2.397838058725286,3.7884684428938598,3397324,1610600,41.813194737976126,-2.3478200601707155,5.1861895222124526,-4.78087649402391,-2.17889908256881,0.0974658869395699
United States,-2.640899494223243,3.7116871881544578,117917260,28011457,39.359858005520145,-2.6095434981173917,5.103106804914969,-4.93197278911565,-2.34857849196538,-0.13812154696132
Finland,-2.0838700971827704,3.5279643046580573,11843,11103,45.851557882293335,-2.075007526020052,4.560297166622931,-4.05797101449275,-1.76211453744494,0.28089887640449
Burundi,-3.166630923594384,2.9978140796142703,1534,1525,44.88917861799218,-3.144172565425742,4.394254003132488,-5.34682080924856,-3.05498981670061,-1.22324159021407
Kuwait,-1.0612989419258623,4.844735065285815,35183,30012,45.91365147940767,-1.2721111378631413,6.123735883985057,-4.39393939393939,-0.598802395209579,2.40963855421686
Malta,-0.7906262530996256,3.6266055666447157,69883,60918,45.148319333743544,-0.5826688177864585,4.345051374876749,-2.93542074363992,-0.72137060414788,1.5527950310559
Lithuania,0.28544161768995113,3.4119706156779714,14226,13880,44.881203430338815,0.3203095003013088,4.192830659930613,-1.60874497267196,0.66815144766147,2.34375
Laos,3.7002588296848598,4.508154640683511,1199,883,43.97831526271893,3.201850569125275,6.142532654442573,1.2987012987013,3.57142857142857,6.07734806629835
Swaziland,-0.7271673765382138,4.074549184966853,10053,9876,47.3142345568487,-0.40351531619720904,4.684751895124594,-3.31125827814569,-0.77821011673152,1.99115044247787
