country,actor_type,avg_tone,std_tone,count_mentions,count_events,avg_conf,avg_weighted_tone,std_weighted_tone,first_quartile_tone,median_tone,third_quartile_tone
South Africa,AGR,-5.105279829203537,4.896700000162882,153,108,26.33986928104575,-5.087203524149467,5.9066027365160725,-8.36012861736334,-5.43735224586289,-2.17864923747276
Turkmenistan,CVL,-3.0491353437678725,2.1726047234246515,1301,323,42.95157571099155,-3.0000107161292924,2.4403847901701776,-4.33526011560694,-2.98507462686567,-1.45985401459854
Uganda,BUS,-1.0536712456001855,3.292962757787983,887,677,47.113866967305526,-1.0021020727222323,3.801561223267392,-3.1986531986532,-0.87591240875913,1.23609394313967
United Arab Emirates,OPP,-4.869165048538793,2.9937374319620274,241,116,37.96680497925311,-4.9392542732030975,5.281871397485823,-7.02656383890317,-4.69798657718121,-3.16055625790139
Venezuela,ELI,-5.101926319546667,3.3617544118951335,4828,1330,49.58989229494615,-5.0115371906464885,4.465046488338634,-7.45501285347044,-5.0761421319797,-3.39342523860021
West Bank,LAB,-4.486489076848436,2.8075305677030467,1153,515,26.331309627059845,-4.198253780630622,4.303183163557984,-5.05747126436782,-4.39189189189189,-2.95740454645774
Brazil,UAF,-3.0534490602080187,4.190781150990413,293,138,44.50511945392491,-4.770136520241221,7.3515352306692145,-7.74299835255354,-2.14592274678112,1.1605415860735
Mongolia,MED,-0.0899858160986726,1.993026553421859,563,124,45.95026642984014,-0.2962116099767149,2.0515263670004957,-0.75471698113208,-0.29985007496252,0.0
Colombia,UAF,-3.750637183938605,3.197461720646658,849,170,46.71378091872791,-3.8949030400562057,5.11217990620354,-6.4453125,-2.33144297416509,-1.62162162162163
Azerbaijan,CRM,-5.061201666841646,3.451763596869968,57,32,30.0,-4.64453509839465,4.728472899870782,-7.01754385964912,-2.90556900726393,-2.53164556962025
Guyana,LEG,-1.5357563481467356,3.4448394098796102,109,71,49.72477064220183,-1.6052316691138695,3.769390709408843,-3.2626427406199,-1.08932461873638,-0.267379679144391
Hungary,MNC,3.6017588139117747,2.857745392480517,2,1,80.0,3.6017588139117747,2.8577453924805165,1.58102766798419,1.58102766798419,5.62248995983936
Guinea-Bissau,OPP,-5.383623746559164,5.712423778121392,14,14,27.142857142857142,-6.166942989565173,6.455619405094955,-9.33333333333334,-9.26640926640926,-3.39830084957522
Russia,NGO,1.62907268170426,0.0,2,2,50.0,1.62907268170426,0.46077133611153465,1.62907268170426,1.62907268170426,1.62907268170426
Cayman Islands,MNC,-5.424165596955157,3.796884971439359,155,55,64.70967741935483,-4.567078169895325,4.483914541684029,-8.49673202614379,-7.41573033707865,-2.73972602739726
China,CRM,-5.184007272563765,4.341451002233229,2047,1015,38.329262335124575,-5.186521888340144,6.735855112768615,-8.37264150943397,-5.35714285714286,-2.12765957446808
Guatemala,OPP,-4.380935612840743,3.5178197173023755,218,120,32.93577981651376,-5.0225338445765715,5.3084135649595225,-6.81399631675875,-4.83870967741936,-2.23642172523962
Japan,MNC,-0.9096575173568882,3.6901273923368585,251048,122880,61.572288964660146,-0.7392535961415693,4.217607695462779,-3.31491712707182,-0.2865329512894,1.55339805825242
Jordan,MIL,-4.601004793030111,3.380740636717435,6452,2022,39.48388096714197,-4.794152665019785,5.462435414419886,-6.89655172413793,-5.09554140127389,-2.3372287145242
Kazakhstan,BUS,0.3576724039778351,3.1380129161645702,780,446,42.85897435897436,0.5703861605095155,3.451533686434556,-1.94174757281554,1.02564102564103,2.17391304347826
Maldives,GOV,-4.962174978796637,4.261258634259803,13902,4310,47.70033088764207,-4.895907660285675,6.542345616744623,-7.8048780487805,-5.88235294117647,-2.20338983050848
Norway,RAD,-7.104974764449674,2.1974262631443002,191,87,18.219895287958114,-7.115022808834737,4.469418660578934,-8.33333333333337,-6.88524590163935,-5.4016620498615
Papua New Guinea,JUD,-4.764017185146053,2.8545497797100823,1711,495,42.20338983050848,-4.5044379743451755,4.643680264026372,-6.86274509803922,-4.66472303206997,-2.39549084077032
Philippines,MED,-4.558200593616738,3.7294663446239573,11850,2632,32.494514767932486,-3.5356518243981734,4.426866449873614,-7.28346456692914,-4.46735395189004,-1.3859275053305
Poland,MED,-2.271247024657096,2.829788191696102,6256,1304,37.24424552429667,-2.1101795401505683,3.2977289950097943,-3.61687876758205,-1.76744186046512,-0.48250904704463
Uruguay,MIL,-2.5167090328704496,3.0422433780151295,338,129,51.36094674556213,-1.5977212333730713,1.988741927134235,-2.9045643153527,-2.0,-0.25380710659898
Ivory Coast,CVL,-3.6301339438281595,4.20005928088536,342,220,39.15204678362573,-4.224843900516539,6.549743820148896,-6.68604651162791,-4.40625,-1.25628140703517
United States,SET,-0.8918487594273509,2.682431773094235,43,30,36.97674418604651,-1.4113394265470292,3.732754784387219,-2.14776632302406,0.0,0.80256821829856
Somalia,LAB,-3.9840088061348102,3.7507484011158665,214,101,46.02803738317757,-2.6395597867615526,4.238230646385905,-7.08661417322835,-3.08441558441558,-2.22419928825623
Uganda,IGO,0.4014588902717261,3.415885760047337,5,4,64.0,1.8934766478833054,4.004385102832969,-1.2448132780083,-1.2448132780083,3.8961038961039
Malawi,HRI,-2.113158169219808,1.7902048025563713,60,19,20.0,-3.046447594963482,5.601544614964515,-3.2034632034632,-2.7992277992278,-0.58997050147493
France,UAF,-5.13565620599987,3.4170340267916863,7883,2706,33.927438792337945,-5.057757523899639,5.099886231093058,-7.2961373390558,-5.14511873350923,-2.94117647058824
Luxembourg,ELI,-1.9619608336444974,2.482577797509855,436,214,41.53669724770642,-1.7787147743663463,3.110416582253511,-3.95421436004162,-2.12201591511937,-0.42643923240938
Maldives,HLH,-3.4865800393051956,3.901119455422475,1569,947,63.39069471000637,-3.5724631251483165,4.744794268829589,-6.30733944954128,-2.63959390862945,-1.08323831242873
Palau,GOV,-0.6084460056425903,3.588358762235535,739,469,49.86468200270636,-0.7760791763515624,4.389959359314656,-3.17073170731708,-0.64239828693791,2.28571428571429
Somalia,ELI,-4.273372866625574,3.436831846408319,653,352,46.094946401225116,-5.375071047223925,6.679567918235504,-6.10079575596817,-4.2910447761194,-2.19123505976096
Tajikistan,MIL,-4.1999785024823435,3.038686450656539,1196,543,34.96655518394649,-4.156690395383369,4.5989462594949595,-6.95900857959962,-4.27631578947368,-2.12765957446809
Uruguay,HLH,-6.543708353481286,4.185719632350602,58,37,65.34482758620689,-7.756943817343305,6.876004881085058,-10.0917431192661,-6.32911392405064,-5.11363636363636
Panama,OPP,-3.733046870132607,1.4110118893328691,1023,229,20.146627565982406,-3.934265472313384,5.118334978561907,-3.97350993377483,-3.51153039832285,-3.14494074749316
Benin,AGR,0.4923874261662233,0.8780291541519102,12,9,60.0,0.5175711698078597,1.3729922808009136,0.0,0.43604651162791,0.43604651162791
Ivory Coast,IGO,0.32234039464899666,0.9760118408227664,3,3,60.0,0.32234039464899666,0.9760118408227664,-0.80321285140563,0.83565459610028,0.93457943925234
Yemen,SPY,-6.175951749135428,1.5965112793949634,840,137,63.05952380952381,-6.307686704685451,3.6001389322062796,-7.43801652892562,-6.22866894197952,-5.23809523809524
North Korea,CRM,-4.617492095275807,1.4337109813992628,103,41,36.019417475728154,-4.8436586776164745,5.386148426648816,-4.83689538807649,-4.48239060832444,-4.3956043956044
Dominica,JUD,-4.639372235014542,3.614309361279377,51,35,33.72549019607843,-3.8496858395087976,3.3583182634564794,-5.92105263157895,-4.04040404040404,-1.43945808636748
Guinea-Bissau,JUD,-0.018786509060983184,5.0463988966592535,25,21,34.0,1.4932254668698381,3.8837761396101893,-2.10526315789473,3.16455696202532,3.24675324675324
Djibouti,EDU,-0.4817827901824325,3.7400954525833976,42,35,37.61904761904762,1.407472648880824,3.8569344145787,-3.99201596806387,1.6016016016016,1.94805194805195
Suriname,LEG,-2.2589322544939088,5.6026222876015455,21,20,44.76190476190476,-3.197734903682516,8.563953610291563,-6.32570659488559,0.980392156862747,1.15702479338842
