,Country,avg_tone,stddev_tone,count,avg_conf,avg_weighted_tone,std_weighted_tone
101,Mozambique,-3.54149195829793,2.634753001966336,115,40.0,-3.4010019097131945,3.5858515109640243
102,Yemen,-3.608844172502133,3.5852941714464026,10106,44.735800514545815,-3.7321851624049494,5.313685025324897
103,Paraguay,-4.8367162209335595,0.8696623204765208,9,20.0,-5.27498483514008,4.752075770984625
104,Tanzania,-0.46589385815189543,3.5678446170969944,23936,43.40700200534759,-0.38389469114102587,4.272075701604333
105,Burkina Faso,2.32558139534884,0,1,100.0,2.32558139534884,0
106,Israel,-5.103459564553267,4.1755321877563265,2033460,35.59376137224238,-5.1304361701968215,6.4723066433689915
107,Suriname,-6.3573883161512,0.0,2,10.0,-6.3573883161512,0.0
108,Democratic Republic of the Congo,0.2435557854726695,2.5110799424228807,66,54.24242424242424,0.6626257233343313,2.9402312056280313
109,Antigua and Barbuda,0.13681021255716697,5.083958400576407,142,62.46478873239437,0.2797746886627044,6.2896129911012375
110,Papua New Guinea,0.008030957369070082,3.7723365751316673,6459,49.27233317851061,0.14762656631272808,4.485308754570762
111,United States,-2.64089949422313,3.711687188154458,117917260,39.359858005520145,-2.6095434981173975,5.103106804914969
112,Solomon Islands,0.5128601683620135,4.1218421568750045,4626,52.97449200172935,0.7302391290683169,4.398945631127744
113,Saudi Arabia,-0.39798523985054385,4.444450990047518,84835,41.59238521836506,-0.40864084573254983,5.61504974172046
114,Cayman Islands,-0.6620816549881994,3.83344331919479,10165,43.24249877029021,-0.7593775808067125,5.213496344567255
115,Sierra Leone,-0.7717658190884292,3.7522710347978387,37737,43.81190873678353,-0.7526266981306514,4.58607997813375
116,Australia,-1.8368022388181184,3.4746949233912217,8769582,40.06373279821091,-1.7332763896639058,4.522617392576742
117,Bulgaria,-0.818847045793205,3.1935216760068545,140314,45.832489986744015,-0.8564735191606436,3.9715391465331553
118,Sri Lanka,-1.4783820320784786,3.8544486308143235,267385,47.13102829253698,-1.4491414309622819,4.845755232093898
119,Tajikistan,-0.682520272892937,4.228328634517022,23531,46.214780502316096,-0.41867369982836716,5.094911576532011
120,Nigeria,-1.9528634461207588,3.7229126818725624,2479462,38.525603538186914,-1.8976280657603695,4.726949014207525
121,Thailand,-2.0423236224647723,4.093598513711666,161961,45.363945641234615,-1.9302592745016407,5.211430117669885
122,Iceland,-0.33524196229670117,3.2016587195567263,8524,58.710699202252464,-0.29361500111604827,3.713785159798146
123,South Sudan,-2.167066132642332,3.873418442124115,24283,44.33060165547914,-1.9948449297832322,4.863314129906982
124,Cameroon,-1.3416383672314443,3.6939970902396473,18916,46.01871431592303,-1.3070224672984876,4.5109883735269785
125,Jamaica,-0.25108287037431476,3.746620978688251,120782,48.68142604030402,-0.13802981246080961,4.529159266413003
